"model","iteration","corr_iter","MAF","gen"
"EGBLUP",10,0.229030013004482,0.05,"all"
"GB",1,0.277444491023125,0.05,"all"
"GB",2,0.281544795472953,0.05,"all"
"GB",3,0.272363671860259,0.05,"all"
"GB",4,0.2826599505962,0.05,"all"
"GB",5,0.276309144771769,0.05,"all"
"GB",6,0.270324771216346,0.05,"all"
"GB",7,0.268210219849229,0.05,"all"
"GB",8,0.272283030732406,0.05,"all"
"GB",9,0.287072279874113,0.05,"all"
"GB",10,0.279146439305742,0.05,"all"
"GBLUP",1,0.231753261696243,0.05,"all"
"GBLUP",2,0.231753261696243,0.05,"all"
"GBLUP",3,0.231753261696243,0.05,"all"
"GBLUP",4,0.231753261696243,0.05,"all"
"GBLUP",5,0.231753261696243,0.05,"all"
"GBLUP",6,0.231753261696243,0.05,"all"
"GBLUP",7,0.231753261696243,0.05,"all"
"GBLUP",8,0.231753261696243,0.05,"all"
"GBLUP",9,0.231753261696243,0.05,"all"
"GBLUP",10,0.231753261696243,0.05,"all"
"LASSO",1,0.233092424409728,0.05,"all"
"LASSO",2,0.233786199238499,0.05,"all"
"LASSO",3,0.2339606074965,0.05,"all"
"LASSO",4,0.232965388226781,0.05,"all"
"LASSO",5,0.234189009396532,0.05,"all"
"LASSO",6,0.233188698058388,0.05,"all"
"LASSO",7,0.233455070839096,0.05,"all"
"LASSO",8,0.234051807943441,0.05,"all"
"LASSO",9,0.231630713807084,0.05,"all"
"LASSO",10,0.229620901908794,0.05,"all"
"LR",1,0.244124568475678,0.05,"all"
"LR",2,0.244489548609943,0.05,"all"
"LR",3,0.2488610945514,0.05,"all"
"LR",4,0.248474657645612,0.05,"all"
"LR",5,0.241963703337504,0.05,"all"
"LR",6,0.230782559615109,0.05,"all"
"LR",7,0.23829883059712,0.05,"all"
"LR",8,0.247031615764043,0.05,"all"
"LR",9,0.237219868842711,0.05,"all"
"LR",10,0.24861057752952,0.05,"all"
"RF",1,0.207153218336225,0.05,"all"
"RF",2,0.215159344643421,0.05,"all"
"RF",3,0.214410155747381,0.05,"all"
"RF",4,0.2097902537661,0.05,"all"
"RF",5,0.199828985873592,0.05,"all"
"RF",6,0.197680171964924,0.05,"all"
"RF",7,0.205225129530077,0.05,"all"
"RF",8,0.213521571734985,0.05,"all"
"RF",9,0.20559127847686,0.05,"all"
"RF",10,0.206554082089983,0.05,"all"
"RKHS",1,0.239427713868751,0.05,"all"
"RKHS",2,0.242185458653335,0.05,"all"
"RKHS",3,0.240816914595104,0.05,"all"
"RKHS",4,0.241283300256077,0.05,"all"
"RKHS",5,0.240454092530825,0.05,"all"
"RKHS",6,0.240011106938699,0.05,"all"
"RKHS",7,0.24083893786494,0.05,"all"
"RKHS",8,0.240391681864923,0.05,"all"
"RKHS",9,0.241424972966977,0.05,"all"
"RKHS",10,0.240894792512723,0.05,"all"
